params,mean_test_score,std_test_score,rank_test_score,mean_train_score
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': 0.8}",0.8449236091659026,0.011415203314084103,16,0.9006960295009176
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 4.18, 'classifier__subsample': 0.8}",0.848023141065594,0.007007325974760229,15,0.9064557256096196
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': 0.8}",0.860443996015681,0.006707990568608532,14,0.9320692347276855
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__scale_pos_weight': 4.18, 'classifier__subsample': 0.8}",0.8641456198425371,0.004912295562690539,11,0.9380531214727569
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': 0.8}",0.889747964480558,0.007084287100275111,8,0.973396771875438
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 4.18, 'classifier__subsample': 0.8}",0.8958860368473709,0.005026518167166171,7,0.9824709693123115
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': 0.8}",0.9044954800668328,0.006186000241295034,4,0.992921414579451
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__scale_pos_weight': 4.18, 'classifier__subsample': 0.8}",0.9078366417839577,0.004548684104063411,3,0.9967053144693989
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': 0.8}",0.8607258434357824,0.008578320500443484,13,0.9318490539006281
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 4.18, 'classifier__subsample': 0.8}",0.8618810479360572,0.005383927335555319,12,0.9388129575308531
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': 0.8}",0.8708416844295797,0.007866978617657264,10,0.9618168800532096
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__scale_pos_weight': 4.18, 'classifier__subsample': 0.8}",0.8721855658475377,0.003191227836031629,9,0.9694945069344407
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': 0.8}",0.8983937515112773,0.006190847631163177,6,0.9924356657817718
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__scale_pos_weight': 4.18, 'classifier__subsample': 0.8}",0.9010999023871067,0.0016573736936055443,5,0.9966148760608163
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': 0.8}",0.9081914095865731,0.004916800631526998,2,0.9995682955117503
"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__scale_pos_weight': 4.18, 'classifier__subsample': 0.8}",0.9116241207989813,0.004387657374569808,1,0.9999338433296594
