feature,importance_mean,importance_std
Passport,0.07876816308826728,0.007035079706231882
ProductPitched,0.07113990174723964,0.008687551435559807
Age,0.058336869301198566,0.002502454818799641
DurationOfPitch,0.048264546971797204,0.004671891430696037
MonthlyIncome,0.03483918418149423,0.0026936203489219233
PitchSatisfactionScore,0.03331541776281675,0.005660585244215831
MaritalStatus,0.031080686072058383,0.004785747363910593
CityTier,0.029907687665601257,0.004076888288395476
PreferredPropertyStar,0.029196722393520336,0.0024385908507347587
NumberOfTrips,0.019973032351748698,0.004290891628254877
NumberOfFollowups,0.01541116234335671,0.0028906364066885013
Occupation,0.014185360150113646,0.0015601413284131232
Gender,0.01166775103014539,0.0026440699903205775
TypeofContact,0.009879965677538682,0.00073686780091917
Designation,0.0037547264103797717,0.0010672208929863832
NumberOfPersonVisiting,0.0013031220238937991,0.0004572319865936276
NumberOfChildrenVisiting,0.0008637190838544084,0.0008817551589796218
OwnCar,0.00062233034426189,0.0006064992941534044
